trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.002, 'e': 0.7527666447061963}",20,0,-51.50452839356977,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
144,False,"{'a': 0.002, 'e': 0.751262615946886}",25,0,-150.97548664543373,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
145,False,"{'a': 0.002, 'e': 0.7497615922390413}",20,0,8.446960417807452,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.002, 'e': 0.7482635675785653}",25,2,-89.51089552497652,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 1}",1
147,False,"{'a': 0.002, 'e': 0.7467685359733571}",20,5,-65.67255235455437,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
148,False,"{'a': 0.002, 'e': 0.7452764914432887}",25,0,-86.79268363794287,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
149,False,"{'a': 0.002, 'e': 0.7437874280201796}",20,3,-69.50370706075749,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 0}",1
150,False,"{'a': 0.002, 'e': 0.7423013397477743}",25,0,-41.94270688876399,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
151,False,"{'a': 0.002, 'e': 0.7408182206817179}",25,0,-127.21611265090871,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
152,False,"{'a': 0.002, 'e': 0.7393380648895319}",20,0,-86.448429614687,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
153,False,"{'a': 0.002, 'e': 0.7378608664505911}",20,0,-125.17267499871753,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
154,False,"{'a': 0.002, 'e': 0.7363866194561001}",20,0,-54.83980144400793,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
155,False,"{'a': 0.002, 'e': 0.7349153180090687}",30,0,-98.5766991824989,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
156,False,"{'a': 0.002, 'e': 0.7334469562242892}",20,0,-52.803498882744954,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
157,False,"{'a': 0.002, 'e': 0.7319815282283126}",25,0,-177.41165868310057,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
158,False,"{'a': 0.002, 'e': 0.7305190281594249}",35,0,-171.3849743872189,"{0: 23, 1: 3, 2: 4, 3: 3, 4: 2}",0
159,False,"{'a': 0.002, 'e': 0.7290594501676237}",20,0,-62.49052803368117,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
160,False,"{'a': 0.002, 'e': 0.7276027884145955}",30,0,-39.58232172303366,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 0}",0
161,False,"{'a': 0.002, 'e': 0.7261490370736909}",25,3,-91.7032077625858,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 2}",1
162,False,"{'a': 0.002, 'e': 0.7246981903299029}",30,0,-124.47562004330871,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
163,False,"{'a': 0.002, 'e': 0.7232502423798424}",30,0,-152.36797964744264,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
164,False,"{'a': 0.002, 'e': 0.7218051874317158}",25,3,-22.805570276822642,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
165,False,"{'a': 0.002, 'e': 0.7203630197053014}",20,0,-30.370490113640354,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
166,False,"{'a': 0.002, 'e': 0.7189237334319262}",20,10,-11.807735218350881,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.002, 'e': 0.7174873228544433}",30,10,-73.14024789626185,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",1
168,False,"{'a': 0.002, 'e': 0.7160537822272085}",20,3,-9.878667845475011,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
